Bus_name,Bus_type,Arrival_time,Departure_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
V.I.P Travels,A/C Seater / Sleeper (2+2),03:40,21:40,06h 00m,INR 350,33 Seats available,3.6,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Jai Hanuman Travels,A/C Seater / Sleeper (2+2),05:00,22:20,06h 40m,585,54 Seats available,3.2,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Om Sai Ram Bus,A/C Seater (2+2),15:30,11:05,04h 25m,INR 400,41 Seats available,3.7,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Om Sai Ram Bus,NON A/C Seater (2+2),16:00,11:35,04h 25m,INR 350,41 Seats available,2.6,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Om Sai Ram Bus,NON A/C Seater (2+2),17:30,12:55,04h 35m,INR 350,41 Seats available,2.3,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Om Sai Ram Bus,A/C Seater (2+2),18:45,14:10,04h 35m,INR 400,41 Seats available,1.3,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Om Sai Ram Bus,NON A/C Seater (2+2),19:00,14:35,04h 25m,INR 350,41 Seats available,1.3,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Hari Om Travels,Non AC Seater (2+2),20:30,14:40,05h 50m,INR 300,45 Seats available,1.1,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Om Sai Ram Bus,A/C Seater (2+2),19:20,14:50,04h 30m,INR 400,41 Seats available,2.6,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Om Sai Ram Bus,NON A/C Seater (2+2),19:45,15:10,04h 35m,INR 350,41 Seats available,1.3,Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Bihar state road transport corporation (BSRTC) - 181063,Non AC Seater (2+2),01:30,21:20,04h 10m,INR 230,35 Seats available,2.6,Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
Siddhi Vinayak (BSRTC U/T),Non AC Seater (2+2),16:15,12:15,04h 00m,INR 220,35 Seats available,1.1,Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
Siddhi Vinayak (BSRTC U/T),Non AC Seater (2+2),19:30,15:30,04h 00m,INR 220,35 Seats available,3.2,Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
Shree Balajee Travels And Cargo,A/C Seater / Sleeper (2+2),17:30,13:00,04h 30m,INR 1999,72 Seats available,3.4,Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
Shree Balajee Travels And Cargo,NON A/C Seater/ Sleeper (2+1),16:30,13:00,03h 30m,INR 1999,40 Seats available,3.0,Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),19:20,13:53,05h 27m,360,57 Seats available,1.9,Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
Panwar Travels,A/C Seater / Sleeper (2+1),18:15,14:00,04h 15m,INR 1300,38 Seats available,1.0,Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
Shree Balajee Travels And Cargo,A/C Sleeper (2+1),21:31,18:01,03h 30m,INR 2500,36 Seats available,1.0,Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
Panwar Travels,A/C Seater / Sleeper (2+1),21:35,18:10,03h 25m,INR 800,25 Seats available,1.0,Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),23:30,20:00,03h 30m,450,26 Seats available,1.0,Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
Bihar state road transport corporation (BSRTC) - 146159,Non AC Seater (2+2),19:30,14:30,05h 00m,INR 285,33 Seats available,1.0,Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna
Bihar state road transport corporation (BSRTC) - 178820,Non AC Seater (2+2),22:06,16:20,29h 46m,INR 285,41 Seats available,2.1,Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna
Bihar state road transport corporation (BSRTC) - 170674,Non AC Seater (2+2),02:00,20:30,05h 30m,INR 285,25 Seats available,1.7,Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna
