Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
Kadamba Transport Corporation Limited (KTCL) - 180183,A/C Sleeper (2+1),09h 30m,20:30,09h 30m,INR 900,9 Seats available,4.2,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Atmaram Gobus,VE A/C Sleeper (2+1),10h 30m,21:00,10h 30m,INR 950,10 Seats available,4.8,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Atmaram Gobus,VE A/C Sleeper (2+1),10h 15m,22:30,10h 15m,INR 900,14 Seats available,4.6,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
AdAshray Vip Yellows,A/C Sleeper (2+1),11h 55m,20:35,11h 55m,INR 900,8 Seats available,4.3,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Atmaram Gobus,Bharat Benz A/C Sleeper (2+1),09h 15m,23:30,09h 15m,INR 1150,5 Seats available,4.7,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Ashray Travels Club,Non A/C Seater / Sleeper (2+1),11h 30m,21:20,11h 30m,INR 500,32 Seats available,4.5,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),10h 05m,21:25,10h 05m,INR 667,20 Seats available,4.6,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
AdIndumati Travels,A/C Sleeper (2+1),10h 10m,22:20,10h 10m,INR 750,19 Seats available,4.1,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Ashray Travels Benz,Bharat Benz A/C Sleeper (2+1),11h 25m,21:05,11h 25m,INR 999,15 Seats available,4.4,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Ashray Amrutyog,A/C Sleeper (2+1),11h 25m,22:05,11h 25m,INR 900,20 Seats available,4.4,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Kadamba Transport Corporation Limited (KTCL) - 180182,A/C Sleeper (2+1),11h 45m,17:00,11h 45m,INR 1100,3 Seats available,3.5,Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune
